Epoch,Train Loss XY, Val Loss XY, Train Loss Z, Val Loss Z
1,0.012561971,0.007933689,0.031428228,0.029447320
2,0.006033603,0.008064434,0.027893827,0.029746174
3,0.005901262,0.007279594,0.027853838,0.029390287
4,0.005849342,0.007412293,0.027816456,0.029335026
5,0.005820820,0.006959781,0.027767705,0.029469518
6,0.005795247,0.007403224,0.027717978,0.029228580
7,0.005754412,0.006988728,0.027675380,0.029184170
8,0.005733397,0.007415218,0.027644656,0.029235421
9,0.005720460,0.007352700,0.027614106,0.029353413
10,0.005707526,0.007517456,0.027609486,0.029209948
11,0.005698752,0.006990032,0.027597181,0.029335660
12,0.005680625,0.007579784,0.027573551,0.029258584
13,0.005688179,0.007186003,0.027573403,0.029526645
14,0.005661412,0.007048757,0.027561088,0.029034088
15,0.005657484,0.007252261,0.027556673,0.029154209
16,0.005649755,0.007218872,0.027550679,0.029264350
17,0.005641057,0.007341928,0.027549027,0.029238124
18,0.005642281,0.007048587,0.027540941,0.029292019
19,0.005632994,0.007133774,0.027534566,0.029198421
20,0.005628852,0.007401753,0.027531557,0.029010857
21,0.005621361,0.007640659,0.027530801,0.029228334
22,0.005623009,0.006938850,0.027525775,0.029110836
23,0.005610328,0.006990002,0.027522923,0.029138830
24,0.005598869,0.007168050,0.027512591,0.029051006
25,0.005616546,0.007033449,0.027514273,0.029377987
26,0.005599746,0.007029748,0.027513127,0.029715739
27,0.005597589,0.007172070,0.027509278,0.029173407
28,0.005605692,0.007099295,0.027512124,0.029240380
29,0.005581568,0.007057951,0.027510348,0.029139041
30,0.005599102,0.007254508,0.027501078,0.029088161
31,0.005585901,0.007017018,0.027495114,0.029307976
32,0.005583181,0.006912208,0.027496850,0.029200207
33,0.005593051,0.007129786,0.027496977,0.029148795
34,0.005590852,0.007022279,0.027501201,0.029250171
35,0.005575977,0.007014883,0.027494380,0.029291345
36,0.005574372,0.007143631,0.027499008,0.029161510
37,0.005575330,0.006993328,0.027488231,0.029105349
38,0.005575207,0.006949898,0.027485498,0.029156100
39,0.005578930,0.007006617,0.027486839,0.029099529
40,0.005570475,0.006922455,0.027491760,0.029118011
41,0.005567914,0.007008167,0.027485426,0.028943913
42,0.005570719,0.007093875,0.027482342,0.029366904
43,0.005564716,0.007047951,0.027484773,0.029371901
44,0.005567110,0.007034127,0.027477473,0.029099283
45,0.005557753,0.007069856,0.027474639,0.029025004
46,0.005563701,0.006996565,0.027476617,0.029040749
47,0.005558782,0.006899756,0.027473822,0.029076380
48,0.005559275,0.006962413,0.027469102,0.029173999
49,0.005555572,0.007158143,0.027465433,0.029095613
50,0.005549317,0.007031677,0.027475567,0.029068588
51,0.005548097,0.007187712,0.027466795,0.029110785
52,0.005541522,0.007108550,0.027475707,0.029239066
53,0.005548951,0.007006841,0.027467067,0.029152955
54,0.005538798,0.007019078,0.027466127,0.029252029
55,0.005536052,0.006865163,0.027464968,0.029062376
56,0.005530298,0.007015363,0.027465946,0.029052666
57,0.005518866,0.006919812,0.027465462,0.029046550
58,0.005522364,0.006953953,0.027460379,0.029225319
59,0.005518147,0.006896243,0.027462254,0.029155943
60,0.005515971,0.006936115,0.027456923,0.028996983
61,0.005512479,0.007003120,0.027461187,0.029084960
62,0.005511731,0.007048366,0.027461951,0.029240941
63,0.005508160,0.006832040,0.027454712,0.029015520
64,0.005505675,0.006768867,0.027450323,0.029114489
65,0.005496073,0.006901865,0.027454186,0.028988856
66,0.005497487,0.006847119,0.027452539,0.029189398
67,0.005497027,0.006964597,0.027445782,0.029163627
68,0.005493030,0.006948851,0.027448005,0.029158347
69,0.005490777,0.006947821,0.027451786,0.029088369
70,0.005488311,0.006853760,0.027447977,0.029220866
71,0.005490401,0.006900777,0.027444883,0.029298525
72,0.005485109,0.006833940,0.027442855,0.029085818
73,0.005479781,0.006901837,0.027442551,0.029059260
74,0.005479408,0.006949990,0.027445999,0.029260324
75,0.005472779,0.006857083,0.027440203,0.029067044
76,0.005479359,0.006945955,0.027438211,0.029131570
77,0.005474726,0.006854321,0.027439568,0.029132264
78,0.005478215,0.006972479,0.027441586,0.029047940
79,0.005472994,0.006860911,0.027439027,0.029210311
80,0.005469254,0.007036823,0.027428891,0.029072715
81,0.005467534,0.006974939,0.027429764,0.029092804
82,0.005465232,0.007067885,0.027429675,0.029036721
83,0.005463247,0.006775536,0.027422997,0.029230779
84,0.005462447,0.007088997,0.027429366,0.029157153
85,0.005462693,0.006852664,0.027428733,0.029060244
86,0.005458814,0.006918286,0.027421148,0.029072102
87,0.005458264,0.006882882,0.027418117,0.029069676
88,0.005451606,0.006881656,0.027418960,0.029102522
89,0.005457425,0.006808537,0.027415294,0.029178005
90,0.005454469,0.006908300,0.027409018,0.029106548
